Station Id,Air Temperature Maximum (degF),Air Temperature Minimum (degF),Precipitation Increment (in),Relative Humidity (pct) Mean of Hourly Values,Wind Speed Maximum (mph) Max of Hourly Values,Wind Speed Average (mph) Mean of Hourly Values,Solar Radiation Average (watt/m2) Mean of Hourly Values,Solar Radiation/langley Total (langley),Vapor Pressure - Partial (inch_Hg) Mean of Hourly Values,Vapor Pressure - Saturated (inch_Hg) Mean of Hourly Values,Soil Moisture Percent -2in (pct) Mean of Hourly Values,Soil Moisture Percent -4in (pct) Mean of Hourly Values,Soil Moisture Percent -8in (pct) Mean of Hourly Values,Soil Moisture Percent -20in (pct) Mean of Hourly Values,Soil Moisture Percent -40in (pct) Mean of Hourly Values,Soil Temperature Observed -2in (degF) Mean of Hourly Values,Soil Temperature Observed -4in (degF) Mean of Hourly Values,Soil Temperature Observed -8in (degF) Mean of Hourly Values,Soil Temperature Observed -20in (degF) Mean of Hourly Values,Soil Temperature Observed -40in (degF) Mean of Hourly Values,MonthOfYear,DayOfYear,WeekOfYear
2174,87.0,72.0,0.38,90,18.1,2.7,166.87,342.6,0.86,0.97,31.4,52.9,54.8,63.5,60.3,81,83,82,77,74,6,169,24
2174,92.0,73.0,0.01,81,11.9,3.1,260.82,535.8,0.88,1.12,31.6,52.1,54.8,62.9,60.0,82,84,81,77,74,6,170,24
2174,91.0,69.0,0.39,83,30.5,3.3,265.55,542.4,0.82,1.03,51.1,56.7,60.2,64.0,59.8,81,82,81,77,74,6,171,24
2174,94.0,72.0,0.0,82,12.3,2.7,280.2,573.8,0.93,1.19,40.3,53.7,55.5,63.7,59.7,83,84,82,77,74,6,172,24
2174,96.0,73.0,0.0,81,10.8,3.3,260.81,532.5,0.92,1.19,33.6,51.5,53.8,63.9,59.7,84,85,83,77,74,6,173,24
2174,94.0,72.0,0.03,82,12.6,3.2,262.54,536.2,0.9,1.15,31.6,47.9,54.0,63.7,59.7,83,85,83,77,74,6,174,25
2174,88.0,70.0,0.0,81,14.4,4.2,183.17,374.0,0.85,1.07,31.2,44.0,53.9,62.9,59.7,82,84,82,77,75,6,175,25
2174,92.0,68.0,0.0,78,10.3,2.0,257.27,525.5,0.8,1.07,31.0,40.4,52.2,62.7,58.4,81,83,81,77,75,6,176,25
2174,91.0,72.0,0.0,78,13.1,1.9,198.75,406.1,0.77,1.04,31.1,37.5,50.4,62.7,53.1,80,82,81,77,75,6,177,25
2174,94.0,67.0,0.13,88,27.4,2.2,212.81,434.6,0.75,0.91,30.8,35.1,44.8,63.3,54.0,79,82,80,77,75,6,178,25
2174,89.0,67.0,0.01,83,13.2,2.4,290.56,593.5,0.73,0.93,30.7,33.6,41.0,64.0,53.6,78,81,79,77,75,6,179,25
2174,92.0,67.0,0.0,81,11.7,1.8,280.23,572.8,0.79,1.02,30.7,32.6,36.9,63.2,52.3,79,81,79,76,75,6,180,25
2174,93.0,71.0,0.0,81,8.5,1.5,312.37,637.9,0.83,1.09,30.7,31.6,34.0,61.7,53.1,81,82,80,76,75,6,181,26
2174,96.0,71.0,0.0,78,9.5,1.9,311.09,635.3,0.86,1.17,30.7,30.4,31.1,62.4,53.2,82,84,81,76,75,7,182,26
2174,97.0,72.0,0.0,77,11.6,1.5,300.28,613.2,0.84,1.2,30.4,29.3,29.2,62.6,53.4,82,84,81,77,75,7,183,26
2174,92.0,73.0,0.18,88,21.9,1.6,162.24,331.5,0.88,1.03,30.1,29.0,28.3,61.7,53.6,81,82,81,77,75,7,184,26
2174,94.0,71.0,0.0,80,10.0,1.9,289.19,590.5,0.87,1.14,30.0,29.6,28.2,61.7,54.1,80,81,80,77,75,7,185,26
2174,96.0,71.0,0.0,77,7.7,1.4,305.37,623.7,0.87,1.22,30.0,28.8,28.2,61.6,54.1,81,81,81,77,75,7,186,26
2174,96.0,73.0,0.0,81,15.6,2.0,244.66,499.6,0.87,1.14,29.7,28.2,27.8,60.6,55.1,81,82,81,77,75,7,187,26
2174,94.0,71.0,0.05,88,13.2,2.4,194.62,397.4,0.86,1.0,29.4,27.8,27.4,60.6,54.9,80,81,80,77,75,7,188,27
2174,95.0,71.0,0.01,88,16.6,2.2,217.96,445.1,0.88,1.04,29.2,27.6,27.4,59.5,54.5,79,80,79,77,75,7,189,27
2174,98.0,73.0,0.0,78,9.0,2.1,298.33,609.2,0.92,1.28,29.2,27.6,27.2,59.1,53.7,80,80,79,77,75,7,190,27
2174,99.0,76.0,0.0,79,13.2,2.3,257.52,526.0,0.91,1.23,29.2,27.3,26.8,58.2,52.9,81,82,81,77,75,7,191,27
2174,94.0,75.0,0.06,87,14.2,2.6,197.81,403.9,0.92,1.1,29.2,27.2,26.4,57.9,51.4,81,82,81,77,75,7,192,27
2174,95.0,75.0,0.0,80,9.6,3.0,283.2,578.3,0.9,1.19,29.2,26.7,26.0,57.2,51.7,81,81,80,77,75,7,193,27
2174,86.0,74.0,0.09,89,13.4,3.7,129.92,265.4,0.85,0.97,29.0,26.5,25.7,56.8,53.0,80,80,80,77,75,7,194,27
2174,82.0,72.0,0.64,98,15.1,2.8,44.21,91.2,0.85,0.87,28.6,37.0,38.0,56.6,53.3,78,79,79,77,75,7,195,28
2174,88.0,72.0,0.37,92,17.5,4.2,126.26,257.8,0.89,0.99,28.0,47.4,52.1,60.8,56.8,77,78,78,77,76,7,196,28
2174,93.0,74.0,0.25,86,15.8,4.2,229.5,468.7,0.9,1.1,28.2,46.7,52.0,62.3,55.5,79,80,78,76,75,7,197,28
2174,94.0,73.0,0.0,86,8.7,2.2,239.58,494.7,0.94,1.14,28.3,46.9,52.3,63.3,54.8,79,80,79,76,75,7,198,28
2174,96.0,74.0,0.0,80,10.5,2.1,287.15,592.9,0.92,1.22,28.7,44.5,49.6,62.2,53.8,80,80,79,76,75,7,199,28
2174,95.0,74.0,0.0,84,13.8,2.0,212.02,436.0,0.92,1.14,29.1,42.3,47.3,61.8,54.7,80,80,80,77,75,7,200,28
2174,82.0,73.0,0.07,95,13.3,2.6,102.42,211.5,0.86,0.91,29.3,41.5,46.0,61.9,51.8,79,80,79,77,75,7,201,28
2174,91.0,73.0,0.03,90,12.6,1.9,168.75,348.5,0.89,1.01,30.5,40.4,45.5,60.7,51.1,78,79,79,77,75,7,202,29
2174,92.0,72.0,0.75,84,13.7,2.6,221.68,457.7,0.85,1.05,35.8,43.5,46.5,61.5,53.0,78,79,78,77,75,7,203,29
2174,84.0,67.0,0.0,83,16.6,5.1,192.78,398.1,0.74,0.92,49.5,53.7,56.8,63.2,62.6,77,79,78,77,76,7,204,29
2174,87.0,62.0,0.0,70,15.2,4.2,317.08,654.7,0.57,0.91,44.9,48.9,52.4,63.4,53.2,75,77,77,76,75,7,205,29
2174,90.0,61.0,0.0,70,11.9,1.9,300.74,621.1,0.57,0.94,42.4,46.6,50.6,63.1,54.4,74,76,76,76,75,7,206,29
2174,94.0,64.0,0.0,70,9.2,1.4,282.46,583.3,0.61,1.02,41.1,44.8,49.2,62.2,51.9,75,76,76,76,75,7,207,29
2174,95.0,65.0,0.0,71,10.5,1.6,263.86,544.9,0.65,1.06,40.0,43.4,48.0,62.0,51.6,75,77,76,76,75,7,208,29
2174,95.0,66.0,0.0,69,12.2,1.7,261.92,537.1,0.65,1.1,39.0,42.0,46.5,61.2,51.3,75,77,76,75,75,7,209,30
2174,95.0,66.0,0.0,69,11.6,2.3,295.61,603.8,0.68,1.12,38.0,41.0,43.9,61.4,51.3,76,78,76,75,75,7,210,30
2174,91.0,71.0,0.0,80,11.6,2.0,190.84,390.1,0.78,1.01,37.3,39.7,41.4,62.4,51.3,77,78,77,75,75,7,211,30
2174,96.0,69.0,0.0,76,14.6,2.3,261.83,540.7,0.76,1.09,36.8,38.5,39.7,61.6,51.2,77,79,77,75,75,7,212,30
2174,94.0,70.0,0.0,75,11.5,2.5,245.66,507.3,0.77,1.11,36.2,37.2,36.7,60.7,50.9,77,79,77,75,75,8,213,30
2174,93.0,70.0,0.02,79,11.7,2.3,197.78,407.9,0.8,1.07,35.8,36.2,34.0,60.8,51.3,77,79,77,76,75,8,214,30
2174,94.0,69.0,0.58,82,14.4,2.0,256.19,529.0,0.79,1.04,38.7,40.1,37.2,61.2,53.2,77,78,77,76,75,8,215,30
2174,90.0,71.0,0.24,90,13.6,2.0,157.81,325.9,0.84,0.95,49.3,52.5,55.3,62.9,57.6,77,78,77,76,75,8,216,31
2174,91.0,69.0,0.01,84,8.8,2.1,256.53,529.7,0.81,1.02,47.3,49.6,53.7,62.8,56.8,77,78,77,76,75,8,217,31
2174,95.0,71.0,0.0,76,10.7,2.0,264.29,545.8,0.81,1.17,45.0,47.1,51.0,62.8,52.1,78,79,78,76,75,8,218,31
2174,97.0,73.0,0.0,76,16.4,2.9,235.89,487.1,0.86,1.22,43.4,45.5,49.4,63.2,49.8,78,80,78,76,75,8,219,31
2174,95.0,73.0,0.0,82,13.6,2.9,184.49,381.0,0.92,1.16,42.8,44.2,47.9,63.0,49.4,79,80,79,76,75,8,220,31
2174,94.0,74.0,0.23,91,21.1,2.2,124.46,257.0,0.91,1.04,42.1,42.8,46.6,61.8,49.4,79,80,79,76,75,8,221,31
2174,91.0,74.0,0.52,94,19.8,2.2,129.66,267.7,0.92,1.0,50.9,52.3,53.9,61.9,56.0,78,80,79,76,75,8,222,31
2174,95.0,75.0,0.0,82,10.8,2.6,242.83,501.5,0.94,1.21,48.7,52.0,54.1,62.8,59.2,79,80,79,76,75,8,223,32
2174,99.0,75.0,0.0,75,16.7,2.0,229.82,474.6,0.88,1.29,45.9,47.9,51.6,63.3,53.1,79,81,79,76,75,8,224,32
2174,100.0,75.0,0.0,77,13.1,2.0,211.64,437.0,0.94,1.3,44.6,45.4,49.9,62.7,51.3,80,81,80,76,75,8,225,32
2174,94.0,74.0,0.0,76,17.3,3.8,233.49,482.2,0.86,1.18,43.4,43.0,47.9,62.0,52.4,80,82,80,77,75,8,226,32
2174,95.0,71.0,0.0,69,15.3,3.7,282.31,583.0,0.72,1.17,42.4,39.9,44.8,60.8,51.5,79,81,80,77,75,8,227,32
2174,96.0,66.0,0.0,68,14.6,3.1,285.23,589.0,0.65,1.12,41.2,36.0,40.1,61.2,50.1,78,80,79,77,76,8,228,32
2174,98.0,65.0,0.0,64,13.0,2.3,276.84,571.7,0.63,1.18,40.1,33.3,35.8,62.0,49.5,77,79,78,77,76,8,229,32
2174,100.0,69.0,0.0,70,14.9,2.6,235.61,486.6,0.76,1.23,38.7,31.9,32.8,61.7,49.5,78,79,78,76,76,8,230,33
2174,96.0,72.0,0.01,83,26.1,2.8,170.63,352.4,0.88,1.1,37.6,31.2,30.6,59.9,49.7,79,79,79,76,76,8,231,33
2174,96.0,69.0,0.26,76,21.1,3.6,247.19,510.4,0.8,1.14,36.4,30.8,28.7,60.3,50.4,78,79,79,77,76,8,232,33
2174,93.0,73.0,0.01,87,26.4,3.0,159.92,330.2,0.87,1.04,35.9,30.6,27.1,59.7,55.2,79,81,79,77,76,8,233,33
2174,91.0,72.0,0.01,86,16.2,3.5,216.53,447.1,0.88,1.06,35.4,30.1,26.4,58.2,21.2,79,81,79,77,76,8,234,33
2174,92.0,74.0,0.35,85,20.3,2.6,181.14,374.0,0.9,1.09,34.5,33.7,25.8,57.8,15.4,79,81,79,77,76,8,235,33
2174,90.0,74.0,0.06,90,9.8,2.1,143.7,296.7,0.9,1.02,34.5,34.8,25.5,57.2,15.3,79,81,79,77,76,8,236,33
2174,88.0,74.0,0.65,95,17.8,4.0,109.88,226.9,0.88,0.95,42.2,42.4,38.4,59.7,15.4,78,80,79,77,76,8,237,34
2174,80.0,74.0,0.43,98,14.3,5.0,56.38,116.4,0.9,0.92,53.0,56.5,59.1,62.2,15.6,78,80,78,77,76,8,238,34
2174,94.0,74.0,0.13,92,19.9,2.9,147.09,303.7,0.93,1.04,49.3,52.2,55.2,61.7,15.6,78,80,78,77,76,8,239,34
2174,89.0,70.0,0.01,83,11.8,3.0,242.47,500.7,0.81,1.02,46.2,49.0,52.1,61.8,15.5,78,80,79,77,76,8,240,34
2174,89.0,63.0,0.0,72,12.1,3.0,273.39,564.6,0.6,0.93,42.6,45.5,49.5,61.5,15.4,77,79,78,77,76,8,241,34
2174,90.0,58.0,0.0,72,12.3,2.4,278.13,574.3,0.55,0.9,40.0,41.2,47.3,60.4,15.4,75,77,76,76,76,8,242,34
2174,93.0,61.0,0.0,73,16.9,3.0,247.75,511.6,0.64,1.0,37.9,38.4,44.7,58.8,15.4,75,77,76,76,76,8,243,34
2174,92.0,65.0,0.0,79,11.7,3.2,218.03,450.2,0.77,1.05,36.2,36.2,41.6,58.0,15.3,76,77,76,76,76,9,244,35
2174,94.0,67.0,0.0,76,16.7,3.3,247.48,511.0,0.76,1.08,34.4,34.6,39.0,57.0,15.2,76,78,77,76,75,9,245,35
2174,96.0,69.0,0.0,73,13.0,3.1,243.69,503.2,0.75,1.14,32.2,33.6,36.5,55.7,15.1,77,79,77,76,75,9,246,35
2174,96.0,68.0,0.0,70,14.6,4.1,255.3,527.1,0.72,1.14,30.5,33.0,34.8,54.7,15.0,77,79,77,76,75,9,247,35
2174,95.0,66.0,0.0,74,19.2,5.7,240.71,497.1,0.79,1.14,29.5,32.7,33.8,53.4,14.9,77,79,78,76,75,9,248,35
2174,93.0,61.0,0.0,71,12.7,3.5,251.53,519.4,0.63,1.0,28.5,32.5,33.4,53.4,14.8,76,79,77,76,75,9,249,35
2174,98.0,70.0,0.0,71,15.7,3.0,236.39,488.1,0.79,1.22,28.1,32.3,33.1,52.7,14.8,77,79,77,76,75,9,250,35
2174,97.0,71.0,0.0,73,15.0,2.9,234.57,484.4,0.79,1.19,27.8,32.3,33.2,51.8,14.7,78,80,78,76,75,9,251,36
2174,98.0,66.0,0.0,66,11.6,2.6,247.37,510.8,0.66,1.18,27.3,32.3,33.2,50.9,14.7,78,79,78,76,75,9,252,36
2174,96.0,71.0,0.0,71,14.6,3.4,231.88,478.8,0.76,1.18,27.1,32.5,33.3,50.0,15.4,78,80,78,76,75,9,253,36
2174,97.0,69.0,0.0,71,13.0,2.7,233.79,482.8,0.75,1.18,26.5,32.3,33.2,49.9,16.0,78,80,79,76,75,9,254,36
